Weather condition,Priority Code (Inversely propo.),Score,Priority score(directly pro.),Random distance (0 to 50km),Combined Score
Moderate or heavy rain with thunder,1276,1.08566870513161,0.921091300940439,25.7215222119101,0.0358101395925136
Heavy freezing drizzle,1171,0.996330763094922,1.00368274978651,27.0732357806401,0.0370728773582446
Mist,1030,0.876362669502792,1.14108009708738,45.0939616607677,0.0253044987635259
Light sleet,1204,1.02440840202074,0.976173172757475,12.5701196731047,0.0776582242765848
Overcast,1009,0.858495081095453,1.16482903865213,28.3524663929988,0.0410838698300959
Fog,1135,0.965700611539484,1.03551762114537,4.94753377720907,0.209299757773359
Moderate or heavy sleet showers,1252,1.06524860409466,0.938748003194888,39.5496232385439,0.0237359531223046
Patchy snow possible,1066,0.906992821058229,1.10254455909944,37.8727625238885,0.0291118071570301
Moderate rain at times,1186,1.00909332624302,0.990988617200675,0.950509889383693,1.04258632999939
Ice pellets,1237,1.05248604094656,0.950131366208569,45.3130783124518,0.0209681487463075
Moderate or heavy sleet,1207,1.02696091465036,0.973746893123447,1.50814374270363,0.645659207111004
Light drizzle,1153,0.981015687317203,1.01935169124024,38.101479125214,0.0267535989322177
Light snow showers,1255,1.06780111672428,0.936503984063745,49.4295772449579,0.0189462268597345
Ice pellets,1237,1.05248604094656,0.950131366208569,5.14834587606604,0.184550803127972
Heavy freezing drizzle,1171,0.996330763094922,1.00368274978651,35.1664575944418,0.0285409113809958
Light sleet showers,1249,1.06269609146504,0.941002802241793,26.0251658594536,0.0361574180669429
Light sleet,1204,1.02440840202074,0.976173172757475,9.69165614632172,0.100723050634433
Patchy rain possible,1063,0.90444030842861,1.10565616180621,34.4808334307336,0.0320658189433644
Light showers of ice pellets,1261,1.07290614198352,0.9320479777954,26.8524755122959,0.0347099461041724
Thundery outbreaks possible,1087,0.924860409465568,1.08124425022999,3.55034561292652,0.304546195810703
Blowing snow,1114,0.947833023132146,1.0550381508079,11.7407154582554,0.0898614871094638
Moderate or heavy snow with thunder,1282,1.09077373039085,0.916780421216849,7.33779229517699,0.124939543712546
Partly cloudy,1003,0.853390055836214,1.17179710867398,1.27669590977924,0.917835719295601
Light freezing rain,1198,1.0193033767615,0.981062186978297,43.0718144075246,0.022777359172659
Blizzard,1117,0.950385535761766,1.05220456580125,35.91970540122,0.0292932404107499
Heavy snow,1225,1.04227599042808,0.959438775510204,34.8643833489128,0.0275191666494834
Moderate rain,1189,1.01164583887264,0.988488225399495,16.2787238881021,0.0607227097280007
Overcast,1009,0.858495081095453,1.16482903865213,11.6292674935581,0.100163577740161
Fog,1135,0.965700611539484,1.03551762114537,38.3928490957774,0.0269716274132742
Patchy moderate snow,1216,1.03461845253922,0.966539884868421,42.1891666598446,0.0229096699790557
Heavy rain at times,1192,1.01419835150226,0.986000419463087,22.6104967911375,0.0436080829435629
Patchy moderate snow,1216,1.03461845253922,0.966539884868421,13.0289115467855,0.0741842387522299
Light sleet showers,1249,1.06269609146504,0.941002802241793,2.13211337606618,0.441347450283331
Patchy light snow,1210,1.02951342727998,0.971332644628099,41.4125661982162,0.0234550218399636
Moderate or heavy snow with thunder,1282,1.09077373039085,0.916780421216849,24.5989161406715,0.0372691388504332
Patchy moderate snow,1216,1.03461845253922,0.966539884868421,29.6090072003154,0.0326434411775254
Patchy light drizzle,1150,0.978463174687583,1.02201086956522,30.8117965104086,0.0331694670649916
Sunny,1000,0.850837543206594,1.1753125,2,0.58765625
Sunny,1000,0.850837543206594,1.1753125,41.6095541937836,0.0282462170713569
Moderate or heavy snow showers,1258,1.0703536293539,0.93427066772655,16.7162046367782,0.0558901190806801
Patchy sleet possible,1069,0.909545333687849,1.09945042095416,42.2253870911714,0.0260376635169802
Fog,1135,0.965700611539484,1.03551762114537,7.42931529538219,0.139382645637481
